state,district,local_body_name,local_body_type,lgd_local_body_code
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,Port Blair,Municipality,253098
ANDHRA PRADESH,PRAKASAM,Addanki,Town Panchayat,257868
ANDHRA PRADESH,KURNOOL,Adoni,Municipality,251792
ANDHRA PRADESH,WEST GODAVARI,AKIVEEDU,Town Panchayat,296256
ANDHRA PRADESH,KURNOOL,Allagadda,Town Panchayat,253272
ANDHRA PRADESH,SRIKAKULAM,Amadalavalasa,Town Panchayat,251699
ANDHRA PRADESH,EAST GODAVARI,Amalapuram,Municipality,251735
ANDHRA PRADESH,ANANTAPUR,ANANTAPUR,Municipal Corporation,248112
ANDHRA PRADESH,SPSR NELLORE,Atmakur,Municipality,258033
ANDHRA PRADESH,KURNOOL,Atmakur (Kurnool),Municipality,253270
ANDHRA PRADESH,Y.S.R.,BADVEL,Municipality,248111
ANDHRA PRADESH,GUNTUR,Bapatla,Municipality,251760
ANDHRA PRADESH,KURNOOL,BETHAMCHERLA,Town Panchayat,296260
ANDHRA PRADESH,WEST GODAVARI,Bhimavaram,Municipality,251741
ANDHRA PRADESH,VIZIANAGARAM,Bobbili,Municipality,251702
ANDHRA PRADESH,SPSR NELLORE,Buchireddypalem,Town Panchayat,296328
ANDHRA PRADESH,GUNTUR,Chilakaluripeta,Municipality,251756
ANDHRA PRADESH,PRAKASAM,chimakurthy,Town Panchayat,253274
ANDHRA PRADESH,PRAKASAM,Chirala,Municipality,251763
ANDHRA PRADESH,CHITTOOR,CHITTOOR,Municipal Corporation,248122
ANDHRA PRADESH,Y.S.R.,Cuddapah,Municipal Corporation,251782
ANDHRA PRADESH,GUNTUR,DACHEPALLI,Town Panchayat,296261
ANDHRA PRADESH,PRAKASAM,DARSI,Town Panchayat,296263
ANDHRA PRADESH,ANANTAPUR,DHARMAVARAM,Municipality,248115
ANDHRA PRADESH,KURNOOL,Dhone(M),Municipality,253169
ANDHRA PRADESH,WEST GODAVARI,Eluru,Municipal Corporation,251739
ANDHRA PRADESH,PRAKASAM,Giddalur,Town Panchayat,257869
ANDHRA PRADESH,EAST GODAVARI,Gollaprolu,Town Panchayat,277316
ANDHRA PRADESH,ANANTAPUR,Gooty,Municipality,251797
ANDHRA PRADESH,KRISHNA,Gudivada,Municipality,251747
ANDHRA PRADESH,SPSR NELLORE,GUDUR,Municipality,263068
ANDHRA PRADESH,KURNOOL,Gudur (kurnool),Town Panchayat,251773
ANDHRA PRADESH,ANANTAPUR,GUNTAKAL,Municipality,248113
ANDHRA PRADESH,GUNTUR,Guntur,Municipal Corporation,251757
ANDHRA PRADESH,GUNTUR,GURAJALA,Town Panchayat,296262
ANDHRA PRADESH,ANANTAPUR,HINDUPUR,Municipality,248118
ANDHRA PRADESH,SRIKAKULAM,Ichchapuram,Town Panchayat,251696
ANDHRA PRADESH,KRISHNA,Jaggiahpet,Municipality,277319
ANDHRA PRADESH,Y.S.R.,Jammalamadugu,Municipality,251780
ANDHRA PRADESH,WEST GODAVARI,Jangareddygudem,Municipality,257906
ANDHRA PRADESH,ANANTAPUR,KADIRI,Municipality,248116
ANDHRA PRADESH,EAST GODAVARI,Kakinada,Municipal Corporation,251731
ANDHRA PRADESH,ANANTAPUR,Kalyandurg,Municipality,251799
ANDHRA PRADESH,Y.S.R.,KAMALAPURAM,Town Panchayat,296259
ANDHRA PRADESH,PRAKASAM,Kandukur,Municipality,251768
ANDHRA PRADESH,PRAKASAM,kanigiri,Town Panchayat,253295
ANDHRA PRADESH,SPSR NELLORE,Kavali,Municipality,251770
ANDHRA PRADESH,KRISHNA,KONDAPALLI,Municipality,296264
ANDHRA PRADESH,WEST GODAVARI,Kovvur,Municipality,251736
ANDHRA PRADESH,CHITTOOR,KUPPAM,Municipality,296257
ANDHRA PRADESH,KURNOOL,Kurnool,Municipal Corporation,251789
ANDHRA PRADESH,GUNTUR,Macherla,Municipality,251751
ANDHRA PRADESH,KRISHNA,Machilipatnam Municipal Corporation,Municipal Corporation,251750
ANDHRA PRADESH,ANANTAPUR,Madakasira,Town Panchayat,253253
ANDHRA PRADESH,CHITTOOR,MADANAPALLI,Municipality,248119
ANDHRA PRADESH,EAST GODAVARI,Mandapeta,Municipality,251732
ANDHRA PRADESH,GUNTUR,Mangalagiri,Municipality,251752
ANDHRA PRADESH,PRAKASAM,Markapur,Municipality,251762
ANDHRA PRADESH,EAST GODAVARI,Mummidivaram,Town Panchayat,277315
ANDHRA PRADESH,Y.S.R.,Mydukur,Municipality,253297
ANDHRA PRADESH,CHITTOOR,NAGARI,Municipality,248125
ANDHRA PRADESH,SPSR NELLORE,Naidupeta,Municipality,257831
ANDHRA PRADESH,KRISHNA,Nandigama,Town Panchayat,254922
ANDHRA PRADESH,KURNOOL,Nandikotkur,Town Panchayat,253273
ANDHRA PRADESH,KURNOOL,Nandyal,Municipality,251795
ANDHRA PRADESH,WEST GODAVARI,Narasapur,Municipality,251742
ANDHRA PRADESH,GUNTUR,Narasaraopeta,Municipality,251755
ANDHRA PRADESH,VISAKHAPATANAM,Narsipatnam,Municipality,251716
ANDHRA PRADESH,VIZIANAGARAM,Nellimarla,Town Panchayat,251711
ANDHRA PRADESH,SPSR NELLORE,Nellore,Municipal Corporation,251772
ANDHRA PRADESH,WEST GODAVARI,Nidadavole,Municipality,251737
ANDHRA PRADESH,KRISHNA,Nuzvid,Municipality,251745
ANDHRA PRADESH,PRAKASAM,Ongole,Municipal Corporation,251766
ANDHRA PRADESH,WEST GODAVARI,Palacole,Municipality,251743
ANDHRA PRADESH,SRIKAKULAM,PALAKONDA,Town Panchayat,257967
ANDHRA PRADESH,CHITTOOR,PALAMANER,Municipality,248123
ANDHRA PRADESH,SRIKAKULAM,Palasa Kasibugga,Town Panchayat,251695
ANDHRA PRADESH,ANANTAPUR,Pamidi,Town Panchayat,253252
ANDHRA PRADESH,VIZIANAGARAM,Parvathipuram,Municipality,251701
ANDHRA PRADESH,KRISHNA,Pedana,Municipality,251749
ANDHRA PRADESH,EAST GODAVARI,Peddapuram,Municipality,251724
ANDHRA PRADESH,ANANTAPUR,PENUKONDA,Town Panchayat,296250
ANDHRA PRADESH,GUNTUR,Piduguralla,Municipality,253167
ANDHRA PRADESH,EAST GODAVARI,Pithapuram,Municipality,251728
ANDHRA PRADESH,GUNTUR,Ponnuru,Municipality,251759
ANDHRA PRADESH,Y.S.R.,Proddatur,Municipality,251778
ANDHRA PRADESH,Y.S.R.,Pulivendula,Municipality,253101
ANDHRA PRADESH,CHITTOOR,PUNGANUR,Municipality,248120
ANDHRA PRADESH,ANANTAPUR,Puttaparthi,Town Panchayat,253254
ANDHRA PRADESH,CHITTOOR,PUTTUR,Municipality,248126
ANDHRA PRADESH,EAST GODAVARI,Rajahmundry,Municipal Corporation,251725
ANDHRA PRADESH,SRIKAKULAM,Rajam,Town Panchayat,251698
ANDHRA PRADESH,Y.S.R.,Rajampet,Municipality,253102
ANDHRA PRADESH,EAST GODAVARI,Ramachandrapuram,Municipality,251733
ANDHRA PRADESH,Y.S.R.,Rayachoti,Municipality,251786
ANDHRA PRADESH,ANANTAPUR,RAYADURG,Municipality,248117
ANDHRA PRADESH,GUNTUR,Repalle,Municipality,251761
ANDHRA PRADESH,VIZIANAGARAM,Salur,Municipality,251703
ANDHRA PRADESH,EAST GODAVARI,Samalkot,Municipality,251727
ANDHRA PRADESH,GUNTUR,Sattenapalle,Municipality,251753
ANDHRA PRADESH,SRIKAKULAM,Srikakulam,Municipal Corporation,251700
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,Municipality,248124
ANDHRA PRADESH,SPSR NELLORE,Sullurupeta,Municipality,253227
ANDHRA PRADESH,GUNTUR,Tadepalli,Municipality,253168
ANDHRA PRADESH,WEST GODAVARI,Tadepalligudem,Municipality,251738
ANDHRA PRADESH,ANANTAPUR,TADIPATRI,Municipality,248114
ANDHRA PRADESH,WEST GODAVARI,Tanuku,Municipality,251740
ANDHRA PRADESH,GUNTUR,Tenali,Municipality,251758
ANDHRA PRADESH,CHITTOOR,TIRUPATI,Municipal Corporation,248121
ANDHRA PRADESH,KRISHNA,Tiruvuru,Town Panchayat,254924
ANDHRA PRADESH,EAST GODAVARI,Tuni,Municipality,251722
ANDHRA PRADESH,SPSR NELLORE,Venkatagiri,Municipality,251774
ANDHRA PRADESH,KRISHNA,Vijayawada,Municipal Corporation,251746
ANDHRA PRADESH,GUNTUR,Vinukonda,Municipality,251754
ANDHRA PRADESH,VISAKHAPATANAM,Visakhapatnam,Municipal Corporation,251719
ANDHRA PRADESH,VIZIANAGARAM,Vizianagaram Municipal Corporation,Municipal Corporation,251709
ANDHRA PRADESH,KRISHNA,Vuyyuru,Town Panchayat,254923
ANDHRA PRADESH,VISAKHAPATANAM,Yelamanchili,Municipality,258054
ANDHRA PRADESH,EAST GODAVARI,Yeleswaram,Town Panchayat,277317
ANDHRA PRADESH,KURNOOL,Yemmiganur,Municipality,251787
ANDHRA PRADESH,Y.S.R.,Yerraguntla,Town Panchayat,251781
ARUNACHAL PRADESH,EAST SIANG,Along,Town Panchayat,249705
ARUNACHAL PRADESH,UPPER SIANG,Basar,Town Panchayat,249706
ARUNACHAL PRADESH,WEST KAMENG,Bomdila,Town Panchayat,249699
ARUNACHAL PRADESH,DIBANG VALLEY,Changlang,Town Panchayat,249711
ARUNACHAL PRADESH,LEPARADA,Daporijo,Town Panchayat,249704
ARUNACHAL PRADESH,NAMSAI,Deomali,Town Panchayat,249713
ARUNACHAL PRADESH,PAPUM PARE,Itanagar,Town Panchayat,249701
ARUNACHAL PRADESH,PAPUM PARE,ITANAGAR,Municipal Corporation,276621
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,Jairampur,Town Panchayat,249712
ARUNACHAL PRADESH,NAMSAI,Khonsa,Town Panchayat,249714
ARUNACHAL PRADESH,PAPUM PARE,Naharlagun,Town Panchayat,249702
ARUNACHAL PRADESH,KURUNG KUMEY,Namsai,Town Panchayat,249710
ARUNACHAL PRADESH,CHANGLANG,Pasighat,Town Panchayat,249707
ARUNACHAL PRADESH,EAST SIANG,PASIGHAT,Municipality,276622
ARUNACHAL PRADESH,LOWER SUBANSIRI,Roing,Town Panchayat,249708
ARUNACHAL PRADESH,EAST KAMENG,Seppa,Town Panchayat,249700
ARUNACHAL PRADESH,TAWANG,Tawang,Town Panchayat,249698
ARUNACHAL PRADESH,KRA DAADI,Tezu,Town Panchayat,249709
ARUNACHAL PRADESH,LOWER SUBANSIRI,Ziro,Town Panchayat,249703
ASSAM,BONGAIGAON,Abhayapuri,Town Panchayat,249838
ASSAM,SIVASAGAR,Amguri,Municipality,249906
ASSAM,KARIMGANJ,Badarpur,Town Panchayat,249941
ASSAM,WEST KARBI ANGLONG,Bakulia,Town Panchayat,253264
ASSAM,GOLAGHAT,Barpathar,Town Panchayat,249922
ASSAM,BARPETA,Barpeta,Municipality,249843
ASSAM,BARPETA,Barpeta Road,Municipality,249841
ASSAM,CHIRANG,Basugaon,Town Panchayat,249823
ASSAM,LAKHIMPUR,Bihpuria,Municipality,249881
ASSAM,CHIRANG,Bijni,Town Panchayat,249839
ASSAM,KOKRAJHAR,Bilasipara,Town Panchayat,249829
ASSAM,Biswanath,Biswanath Chariali,Municipality,249879
ASSAM,WEST KARBI ANGLONG,Bokajan,Town Panchayat,249926
ASSAM,GOLAGHAT,Bokakhat,Municipality,277144
ASSAM,HAILAKANDI,Bongaigaon,Municipality,249836
ASSAM,DIBRUGARH,Chabua,Town Panchayat,249898
ASSAM,TINSUKIA,Chapakhowa,Town Panchayat,259861
ASSAM,KOKRAJHAR,Chapar,Town Panchayat,249831
ASSAM,SIVASAGAR,Demow,Town Panchayat,277146
ASSAM,GOLAGHAT,Dergaon,Municipality,249918
ASSAM,LAKHIMPUR,Dhakuakhana,Town Panchayat,253211
ASSAM,SONITPUR,Dhekiajuli,Municipality,249875
ASSAM,DHEMAJI,Dhemaji,Town Panchayat,249883
ASSAM,NAGAON,Dhing,Municipality,277145
ASSAM,DHUBRI,Dhubri,Municipality,249827
ASSAM,DIBRUGARH,Dibrugarh,Municipality,249896
ASSAM,TINSUKIA,Digboi,Town Panchayat,249890
ASSAM,WEST KARBI ANGLONG,Diphu,Town Panchayat,249925
ASSAM,HOJAI,Doboka,Town Panchayat,249871
ASSAM,KARBI ANGLONG,Dokmoka,Town Panchayat,249928
ASSAM,GOLAGHAT,Donkamokam,Town Panchayat,249924
ASSAM,TINSUKIA,Doom Dooma,Town Panchayat,249886
ASSAM,KOKRAJHAR,Gauripur,Town Panchayat,249826
ASSAM,GOALPARA,Goalpara,Municipality,249834
ASSAM,Biswanath,Gohpur,Town Panchayat,249880
ASSAM,GOLAGHAT,Golaghat,Municipality,249919
ASSAM,KOKRAJHAR,Golokganj,Town Panchayat,249825
ASSAM,BAKSA,Goreswar,Town Panchayat,277147
ASSAM,KOKRAJHAR,Gossaigaon,Town Panchayat,249821
ASSAM,KAMRUP METRO,Guwahati,Municipal Corporation,249854
ASSAM,DIMA HASAO,Haflong,Town Panchayat,249930
ASSAM,HAILAKANDI,Hailakandi,Municipality,249944
ASSAM,GOLAGHAT,Hamren,Town Panchayat,249923
ASSAM,HOJAI,Hojai,Municipality,249870
ASSAM,BARPETA,Howli,Town Panchayat,249844
ASSAM,KARBI ANGLONG,Howraghat,Town Panchayat,249927
ASSAM,SONITPUR,Jamugurihat MB,Municipality,296973
ASSAM,JORHAT,Jorhat,Municipality,249912
ASSAM,CHIRANG,KAJALGAON TC,Town Panchayat,296999
ASSAM,NAGAON,Kampur Town,Town Panchayat,249869
ASSAM,CACHAR,Karimganj,Municipality,249940
ASSAM,DARRANG,Kharupatia,Town Panchayat,249861
ASSAM,CACHAR,Lakhipur Municipality,Municipality,249939
ASSAM,HAILAKANDI,Lala,Town Panchayat,249945
ASSAM,KARBI ANGLONG,Langhin,Town Panchayat,277148
ASSAM,HOJAI,Lumding,Municipality,249872
ASSAM,DIMA HASAO,Mahur,Town Panchayat,249931
ASSAM,DIMA HASAO,Maibong,Town Panchayat,249932
ASSAM,MAJULI,Majuli,Town Panchayat,277149
ASSAM,TINSUKIA,Makum,Town Panchayat,249887
ASSAM,DARRANG,Mangaldoi,Municipality,249860
ASSAM,TINSUKIA,Margherita,Town Panchayat,249892
ASSAM,JORHAT,Mariani,Town Panchayat,249915
ASSAM,MARIGAON,Marigaon,Municipality,249864
ASSAM,SIVASAGAR,Moran Town,Town Panchayat,249902
ASSAM,NAGAON,Nagaon,Municipality,249866
ASSAM,DIBRUGARH,Naharkatiya,Town Panchayat,249903
ASSAM,NALBARI,Nalbari,Municipality,249858
ASSAM,DIBRUGARH,Namrup,Town Panchayat,249904
ASSAM,LAKHIMPUR,Narayanpur,Town Panchayat,253212
ASSAM,SIVASAGAR,Nazira,Municipality,249907
ASSAM,KAMRUP,North Guwahati,Town Panchayat,249855
ASSAM,LAKHIMPUR,North Lakhimpur,Municipality,249882
ASSAM,KAMRUP,Palasbari,Municipality,249851
ASSAM,BARPETA,Patacharkuchi,Town Panchayat,262892
ASSAM,BAJALI,Pathsala,Town Panchayat,249847
ASSAM,NAGAON,Raha,Town Panchayat,271990
ASSAM,KARIMGANJ,Ramkrishnanagar,Municipality,289553
ASSAM,KARIMGANJ,Ramkrishna Nagar,Town Panchayat,277150
ASSAM,SONITPUR,Rangapara,Town Panchayat,249876
ASSAM,BAKSA,Rangia,Municipality,277143
ASSAM,KOKRAJHAR,Sapatgram,Town Panchayat,249828
ASSAM,BARPETA,Sarbhog,Town Panchayat,249842
ASSAM,BARPETA,Sarthebari,Town Panchayat,249846
ASSAM,GOLAGHAT,Sarupathar,Town Panchayat,249921
ASSAM,SIVASAGAR,Sibsagar,Municipality,249905
ASSAM,DHEMAJI,Silapathar,Town Panchayat,249884
ASSAM,CACHAR,Silchar,Municipality,249933
ASSAM,SIVASAGAR,Simaluguri,Town Panchayat,253214
ASSAM,DARRANG,SIPAJHAR MB,Municipality,296992
ASSAM,CACHAR,Sonai,Town Panchayat,277152
ASSAM,CACHAR,Sonai,Municipality,289552
ASSAM,CHARAIDEO,Sonari,Municipality,249908
ASSAM,Biswanath,Sootea,Town Panchayat,277151
ASSAM,UDALGURI,Tangla,Town Panchayat,249859
ASSAM,JORHAT,TeokTC,Town Panchayat,263017
ASSAM,SONITPUR,Tezpur,Municipality,249877
ASSAM,KAMRUP METRO,Tihu,Town Panchayat,249857
ASSAM,TINSUKIA,Tinsukia,Municipality,249888
ASSAM,JORHAT,Titabor Town,Town Panchayat,249916
ASSAM,UDALGURI,Udalguri,Town Panchayat,249862
ASSAM,KARBI ANGLONG,Umrangso,Town Panchayat,249929
BIHAR,BHAGALPUR,Akbarnagar,Town Panchayat,299131
BIHAR,MADHEPURA,ALAMNAGAR,Town Panchayat,299227
BIHAR,KHAGARIA,ALAULI,Town Panchayat,299218
BIHAR,BHAGALPUR,Amarpur,Town Panchayat,249632
BIHAR,KATIHAR,AMDABAD,Town Panchayat,299208
BIHAR,PURNIA,AMOUR,Town Panchayat,299232
BIHAR,SIWAN,Andar,Town Panchayat,299134
BIHAR,ARARIA,Araria,Municipality,249587
BIHAR,PURBI CHAMPARAN,Areraj,Town Panchayat,249570
BIHAR,BHOJPUR,Arrah,Municipal Corporation,249659
BIHAR,ARWAL,ARWAL,Municipality,253281
BIHAR,NALANDA,Asthawan,Town Panchayat,299293
BIHAR,AURANGABAD,Aurangabad,Municipality,290025
BIHAR,PASHCHIM CHAMPARAN,Bagaha,Municipality,249562
BIHAR,KISHANGANJ,Bahadurganj,Town Panchayat,249589
BIHAR,DARBHANGA,BAHERI,Town Panchayat,299165
BIHAR,SITAMARHI,Bairgania,Town Panchayat,249573
BIHAR,BEGUSARAI,Bakhri,Municipality,277129
BIHAR,PATNA,Bakhtiyarpur,Municipality,277098
BIHAR,BEGUSARAI,Balia,Town Panchayat,277136
BIHAR,KATIHAR,BALRAMPUR,Town Panchayat,299212
BIHAR,BANKA,Banka,Municipality,249633
BIHAR,PURNIA,Banmankhi,Municipality,277133
BIHAR,PURNIA,Banmankhi,Municipality,299234
BIHAR,LAKHISARAI,Barahiya,Town Panchayat,249638
BIHAR,KATIHAR,BARARI,Town Panchayat,299211
BIHAR,GOPALGANJ,Barauli,Town Panchayat,277131
BIHAR,SHEIKHPURA,Barbigha,Municipality,277103
BIHAR,PATNA,Barh,Municipality,249656
BIHAR,SIWAN,Barharia,Town Panchayat,299143
BIHAR,KATIHAR,BARSOI,Town Panchayat,276406
BIHAR,AURANGABAD,BARUN,Town Panchayat,299118
BIHAR,SIWAN,Basantpur,Town Panchayat,299139
BIHAR,PURNIA,Bausi,Town Panchayat,299120
BIHAR,BHOJPUR,Behea,Town Panchayat,249661
BIHAR,KHAGARIA,BELDAUR,Town Panchayat,299214
BIHAR,SITAMARHI,Belsand,Town Panchayat,249574
BIHAR,MADHUBANI,BENIPATTI,Town Panchayat,299291
BIHAR,DARBHANGA,Benipur,Municipality,276642
BIHAR,PASHCHIM CHAMPARAN,Bettiah,Municipality,249564
BIHAR,KAIMUR (BHABUA),Bhabua,Municipality,249666
BIHAR,BHAGALPUR,Bhagalpur,Municipal Corporation,249630
BIHAR,DARBHANGA,BHARWARA,Town Panchayat,299170
BIHAR,PURNIA,Bhawanipur,Town Panchayat,299237
BIHAR,MADHEPURA,BIHARIGANJ,Town Panchayat,299224
BIHAR,NALANDA,Biharsharif,Municipal Corporation,249642
BIHAR,BEGUSARAI,Bihat,Municipality,276643
BIHAR,PATNA,Bihta,Municipality,299176
BIHAR,PATNA,Bikarm,Town Panchayat,276644
BIHAR,ROHTAS,Bikramganj,Municipality,249668
BIHAR,DARBHANGA,BIRAUL,Town Panchayat,299166
BIHAR,SUPAUL,Birpur,Town Panchayat,249583
BIHAR,GAYA,Bodh Gaya,Municipality,249683
BIHAR,BUXAR,Buxar,Municipality,249665
BIHAR,PURBI CHAMPARAN,Chakia,Municipality,249571
BIHAR,PURNIA,CHAMPANAGAR,Town Panchayat,299272
BIHAR,NALANDA,Chandi,Town Panchayat,299288
BIHAR,PASHCHIM CHAMPARAN,Chanpatia,Town Panchayat,249563
BIHAR,SARAN,Chapra,Municipal Corporation,249612
BIHAR,ROHTAS,CHENARI,Town Panchayat,299307
BIHAR,SHEIKHPURA,Chewara,Town Panchayat,299151
BIHAR,SAMASTIPUR,Dalsinghsarai,Municipality,249621
BIHAR,PATNA,Danapur,Municipality,249648
BIHAR,PATNA,Danapur,Municipal Council,277261
BIHAR,DARBHANGA,Darbhanga,Municipal Corporation,249600
BIHAR,AURANGABAD,Daudnagar,Municipality,249674
BIHAR,AURANGABAD,Deo,Town Panchayat,299117
BIHAR,PURBI CHAMPARAN,Dhaka,Municipality,249567
BIHAR,PURNIA,Dhamdaha,Town Panchayat,299236
BIHAR,SARAN,Dighwara,Town Panchayat,249614
BIHAR,ROHTAS,DINARA,Town Panchayat,299306
BIHAR,GAYA,DOBHI,Town Panchayat,299185
BIHAR,SITAMARHI,Dumra,Town Panchayat,249576
BIHAR,BUXAR,Dumraon,Municipality,249664
BIHAR,NALANDA,Ekangarsarai,Town Panchayat,299301
BIHAR,SARAN,Ekma Bazar,Town Panchayat,265438
BIHAR,GAYA,FATEHPUR,Town Panchayat,299188
BIHAR,PATNA,Fatuha,Municipality,249653
BIHAR,ARARIA,Forbesganj,Municipality,249586
BIHAR,VAISHALI,Garaul,Town Panchayat,299125
BIHAR,BHOJPUR,Garhani,Town Panchayat,299146
BIHAR,GAYA,Gaya,Municipal Corporation,249680
BIHAR,DARBHANGA,GHANSHYAMPUR,Town Panchayat,299174
BIHAR,MADHUBANI,Ghoghardiha,Town Panchayat,249581
BIHAR,NALANDA,Giriak,Town Panchayat,299285
BIHAR,KHAGARIA,Gogri Jamalpur,Municipality,249626
BIHAR,GOPALGANJ,Gopalganj,Municipality,249606
BIHAR,SIWAN,Guthani,Town Panchayat,299136
BIHAR,BHAGALPUR,Habibpur,Town Panchayat,299123
BIHAR,VAISHALI,Hajipur,Municipality,249617
BIHAR,NALANDA,Harnaut,Town Panchayat,276429
BIHAR,SIWAN,Hasanpura,Town Panchayat,299133
BIHAR,KAIMUR (BHABUA),HATA,Town Panchayat,299203
BIHAR,GOPALGANJ,Hathua,Town Panchayat,299138
BIHAR,MUNGER,Haveli Kharagpur,Town Panchayat,249636
BIHAR,MUNGER,Haweli Kharagpur,Municipality,299171
BIHAR,DARBHANGA,HAYAGHAT,Town Panchayat,299167
BIHAR,NALANDA,Hilsa,Municipality,249643
BIHAR,NAWADA,Hisua,Town Panchayat,249686
BIHAR,SIWAN,Hussainganj,Town Panchayat,299132
BIHAR,GAYA,IMAMGANJ,Town Panchayat,299186
BIHAR,NALANDA,Islampur,Town Panchayat,249644
BIHAR,BHOJPUR,Jagdishpur,Town Panchayat,249662
BIHAR,MADHUBANI,Jainagar,Town Panchayat,249578
BIHAR,SARAN,Jalalpur,Town Panchayat,299159
BIHAR,DARBHANGA,JALE,Town Panchayat,299168
BIHAR,MUNGER,Jamalpur,Municipality,249635
BIHAR,JAMUI,Jamui,Municipality,249687
BIHAR,SITAMARHI,Janakpur Road,Town Panchayat,249577
BIHAR,VAISHALI,JANDAHA,Town Panchayat,299273
BIHAR,JEHANABAD,Jehanabad,Municipality,249672
BIHAR,JAMUI,Jhajha,Town Panchayat,249688
BIHAR,MADHUBANI,Jhanjharpur,Town Panchayat,249580
BIHAR,ARARIA,Jogabani,Municipality,249585
BIHAR,ARARIA,JOKIHAT,Town Panchayat,299113
BIHAR,BHAGALPUR,Kahalgaon,Town Panchayat,277134
BIHAR,SAHARSA,Kahra,Town Panchayat,299162
BIHAR,JEHANABAD,KAKO,Town Panchayat,299200
BIHAR,DARBHANGA,KAMTAUL,Town Panchayat,299158
BIHAR,MUZAFFARPUR,Kanti,Town Panchayat,249602
BIHAR,ROHTAS,KARAKAT,Town Panchayat,299304
BIHAR,PURNIA,Kasba,Town Panchayat,249593
BIHAR,PURNIA,Kasba,Municipality,299233
BIHAR,GOPALGANJ,Kataiya,Town Panchayat,249604
BIHAR,KATIHAR,Katihar,Municipal Corporation,249595
BIHAR,BANKA,KATORIA,Town Panchayat,299121
BIHAR,PURBI CHAMPARAN,Kesaria,Town Panchayat,277126
BIHAR,KHAGARIA,Khagaria,Municipality,249625
BIHAR,PATNA,Khagaul,Municipality,249649
BIHAR,GAYA,KHIZARSARAI,Town Panchayat,299187
BIHAR,PATNA,Khusrupur,Town Panchayat,249654
BIHAR,KISHANGANJ,Kishanganj,Municipality,249590
BIHAR,ROHTAS,Koath,Town Panchayat,249667
BIHAR,ROHTAS,KOCHAS,Town Panchayat,276405
BIHAR,BHOJPUR,Koilwar,Town Panchayat,249660
BIHAR,KATIHAR,KORHA,Town Panchayat,299210
BIHAR,KAIMUR (BHABUA),KUDRA,Town Panchayat,299204
BIHAR,MUZAFFARPUR,Kurhani,Town Panchayat,299230
BIHAR,KATIHAR,KURSELA,Town Panchayat,299209
BIHAR,ARWAL,Kurtha,Town Panchayat,299116
BIHAR,DARBHANGA,KUSHESWAR ASTHAN EAST,Town Panchayat,299153
BIHAR,LAKHISARAI,Lakhisarai,Municipality,249639
BIHAR,VAISHALI,Lalganj,Town Panchayat,249616
BIHAR,MADHEPURA,Madhepura,Municipality,249597
BIHAR,MADHUBANI,Madhubani,Municipal Corporation,249579
BIHAR,SIWAN,Maharajganj,Town Panchayat,249609
BIHAR,VAISHALI,Mahnar,Municipality,249618
BIHAR,VAISHALI,Mahua,Municipality,277125
BIHAR,SIWAN,Mairwa,Town Panchayat,249610
BIHAR,JEHANABAD,Makhdumpur,Town Panchayat,249673
BIHAR,PATNA,Maner,Town Panchayat,249647
BIHAR,KATIHAR,Manihari,Town Panchayat,249596
BIHAR,SARAN,Manjhi,Town Panchayat,299156
BIHAR,KHAGARIA,MANSI,Town Panchayat,299216
BIHAR,SARAN,Marhaura,Town Panchayat,249613
BIHAR,PATNA,Masaurhi,Municipality,249652
BIHAR,SARAN,Mashrakh,Town Panchayat,299157
BIHAR,PURBI CHAMPARAN,Mehsi,Town Panchayat,277128
BIHAR,MUZAFFARPUR,Minapur,Town Panchayat,299223
BIHAR,GOPALGANJ,Mirganj,Municipality,249605
BIHAR,PURNIA,MIRGANJ,Town Panchayat,299271
BIHAR,KAIMUR (BHABUA),Mohaniya,Town Panchayat,276648
BIHAR,PATNA,Mokama,Municipality,249657
BIHAR,PURBI CHAMPARAN,Motihari,Municipal Corporation,249568
BIHAR,MUZAFFARPUR,Motipur,Town Panchayat,249601
BIHAR,MUNGER,Munger,Municipal Corporation,249634
BIHAR,MADHEPURA,Murliganj,Town Panchayat,249598
BIHAR,MUZAFFARPUR,Muzaffarpur,Municipal Corporation,249603
BIHAR,AURANGABAD,Nabinagar,Town Panchayat,249678
BIHAR,NALANDA,Nalanda,Town Panchayat,299454
BIHAR,PASHCHIM CHAMPARAN,Narkatiaganj,Municipality,249561
BIHAR,ARARIA,Narpatganj,Town Panchayat,299112
BIHAR,ROHTAS,Nasriganj,Town Panchayat,276646
BIHAR,PATNA,Naubatpur,Town Panchayat,276645
BIHAR,BHAGALPUR,Naugachhia,Municipality,249627
BIHAR,SAHARSA,Nauhatta,Town Panchayat,299160
BIHAR,NAWADA,Nawada,Municipality,249684
BIHAR,SUPAUL,Nirmali,Town Panchayat,249582
BIHAR,ROHTAS,Nokha,Municipality,249669
BIHAR,NALANDA,Noorsarai,Town Panchayat,299337
BIHAR,PURBI CHAMPARAN,Pakri Dayal,Town Panchayat,277127
BIHAR,PATNA,Paliganj,Town Panchayat,299205
BIHAR,NALANDA,Parbalpur,Town Panchayat,299296
BIHAR,KHAGARIA,PARBATTA,Town Panchayat,299215
